Filename,Execution Time (seconds)
CBS_k3_n100_m449_b90_753.cnf,1.888772
CBS_k3_n100_m449_b90_294.cnf,1.113372
CBS_k3_n100_m449_b90_708.cnf,0.200313
CBS_k3_n100_m449_b90_156.cnf,0.380235
CBS_k3_n100_m449_b90_667.cnf,0.242794
CBS_k3_n100_m449_b90_363.cnf,2.113798
CBS_k3_n100_m449_b90_924.cnf,1.225933
CBS_k3_n100_m449_b90_270.cnf,0.126728
CBS_k3_n100_m449_b90_269.cnf,1.045935
CBS_k3_n100_m449_b90_642.cnf,1.589694
CBS_k3_n100_m449_b90_329.cnf,4.447576
CBS_k3_n100_m449_b90_696.cnf,0.409455
CBS_k3_n100_m449_b90_662.cnf,1.881939
CBS_k3_n100_m449_b90_947.cnf,0.207472
CBS_k3_n100_m449_b90_67.cnf,0.179890
CBS_k3_n100_m449_b90_85.cnf,1.227452
CBS_k3_n100_m449_b90_359.cnf,0.580843
CBS_k3_n100_m449_b90_430.cnf,11.450599
CBS_k3_n100_m449_b90_91.cnf,0.475735
CBS_k3_n100_m449_b90_344.cnf,0.072841
CBS_k3_n100_m449_b90_305.cnf,0.117541
CBS_k3_n100_m449_b90_358.cnf,2.216999
CBS_k3_n100_m449_b90_36.cnf,0.536041
CBS_k3_n100_m449_b90_682.cnf,0.852911
CBS_k3_n100_m449_b90_450.cnf,3.910414
CBS_k3_n100_m449_b90_992.cnf,0.278912
CBS_k3_n100_m449_b90_414.cnf,0.272177
CBS_k3_n100_m449_b90_892.cnf,0.438673
CBS_k3_n100_m449_b90_3.cnf,9.850231
CBS_k3_n100_m449_b90_862.cnf,0.224601
CBS_k3_n100_m449_b90_678.cnf,0.467643
CBS_k3_n100_m449_b90_930.cnf,3.404772
CBS_k3_n100_m449_b90_290.cnf,1.781369
CBS_k3_n100_m449_b90_247.cnf,0.584866
CBS_k3_n100_m449_b90_405.cnf,0.506191
CBS_k3_n100_m449_b90_872.cnf,0.090454
CBS_k3_n100_m449_b90_837.cnf,1.789224
CBS_k3_n100_m449_b90_306.cnf,0.721964
CBS_k3_n100_m449_b90_791.cnf,0.073927
CBS_k3_n100_m449_b90_145.cnf,0.917992
CBS_k3_n100_m449_b90_646.cnf,0.983432
