Filename,Execution Time (seconds)
uf100-0108.cnf,0.701896
uf100-0821.cnf,0.980484
uf100-0912.cnf,0.443178
uf100-0143.cnf,2.531069
uf100-0993.cnf,0.065046
uf100-0188.cnf,0.255887
uf100-0499.cnf,0.294827
uf100-032.cnf,0.285362
uf100-0432.cnf,0.027635
uf100-016.cnf,0.451574
uf100-0737.cnf,0.088744
uf100-0921.cnf,1.592688
uf100-031.cnf,1.537308
uf100-0713.cnf,0.062251
uf100-0833.cnf,0.305153
